name,description,card_type,landscape,cost,atk,def,ability,deck_info,image_name
Lonely Panda,"When Lonely Panda enters play, if you control no other Creatures, draw a card.",Creature,Blue Plains,1,1,8,,Fionna's Blue Plains Deck (CP6) - 2,Lonely Panda.jpg
Longboard Lobster,+1 ATK for each Useless Swamp Landscapes in play.,Creature,SandyLands,2,1,7,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 1,Longboard Lobster.jpg
Lost Golem,Lost Golem costs 1 less to play for each other Creature you have played this turn.,Creature,SandyLands,3,5,6,Continuous,Lady Rainicorn's SandyLand Deck (CP2) - 1,Lost Golem.jpg
Loveable Lamb,"At the start of your turn, if Loveable Lamb has 4 or more Damage on it, deal 2 Damage to target opposing Creature in this Lane.",Creature,NiceLands,1,2,7,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 2 : Charlie's Blue Plains/NiceLands Deck (2v2) - 1",Loveable Lamb.jpg
Lt. Mushroom,"When Lt. Mushroom leaves play during an opponent's turn, that opponent discards 3 cards.",Creature,Useless Swamp,1,2,3,Leaving Play,For the Glory! Booster Pack (FTG) - Rare,Lt. Mushroom.jpg
Lucky Penny,Each of your Creatures has +2 ATK this turn while attacking a Creature that is on a Blue Plains Landscape.,Spell,SandyLands,1,,,,For the Glory! Booster Pack (FTG) - Common,Lucky Penny.jpg
Lumbercaddy,FLOOP >>> Move target Building you control to any Landscape without one.,Creature,Cornfield,1,2,6,FLOOP,Cake's Cornfield Deck (CP6) - 2,Lumbercaddy.jpg
Lumpy Space Princess,"The first time you replace a Creature on your turn, draw a card.",Hero,,,,,,Hero Pack #1 (HP1) - 1,Lumpy Space Princess.jpg
Lunchpad,FLOOP >>> Draw a card for each Creature that entered play onto this Landscape this turn.,Building,SandyLands,2,,,,Lemongrab's Cornfield/SandyLands Deck (CP5) - 1,Lunchpad.jpg
Mace Stump,Destroy Mace Stump >>> Target opponent discards a card for every 5 cards in your discard pile.,Creature,Useless Swamp,1,3,3,Ignition,BMO's Useless Swamp Deck (CP2) - 2,Mace Stump.jpg
Magenapping,Play only if you control one or fewer Creatures and have 15 or fewer Hit Points. Move target Creature to target empty Landscape you control.,Spell,Blue Plains,2,,,,Gunter's Blue Plains/IcyLands Deck (CP5) - 1,Magenapping.jpg
Magic Lamp,Each of your Creatures has +2 ATK this turn while attacking a Creature that is on a SandyLands Landscape.,Spell,Useless Swamp,1,,,,For the Glory! Booster Pack (FTG) - Common,Magic Lamp.jpg
Magic Man,"When you play a card with cost exactly 2, deal 2 Damage to a Creature an opponent controls.",Hero,,,,,,Hero Pack #1 (HP1) - 1,Magic Man.jpg
Magic Ring Ding,Each of your Creatures has +1 ATK this turn for every 5 cards in your discard pile.,Spell,Useless Swamp,2,,,,BMO's Useless Swamp Deck (CP2) - 2,Magic Ring Ding.jpg
Mantle Masher,"When Mantle Masher enters play, flip a Landscape in this Lane face down. When Mantle Masher leaves play, flip it face up.",Creature,Cornfield,1,1,6,Entering Play,Lemongrab's Cornfield/SandyLands Deck (CP5) - 2,Mantle Masher.jpg
Man-Witch,"Whenever a foe discards a card, deal 1 Damage to that foe.",Creature,Useless Swamp,2,1,11,Continuous,Marceline's NiceLands/Useless Swamp Deck (CP4) - 2,Man-Witch.jpg
Marceline,Your Creatures with 5 or more Damage on them have +1 ATK.,Hero,,,,,,Marceline's NiceLands/Useless Swamp Deck (CP4) - 1,Marceline.jpg
Master of Disguise,Each of your opponent's Creatures has -1 ATK this turn.,Spell,Rainbow,1,,,,For the Glory! Booster Pack (FTG) - Common,Master of Disguise.jpg
Matchy Matchy,"Discard the top 2 cards of your deck. If they have the same cost, deal Damage equal to their combined cost to target opponent. After playing this, you may put it into your Teammate's hand.",Spell,Rainbow,1,,,,Moniker's Useless Swamp/IcyLands Deck (2v2) - 1,Matchy Matchy.jpg
Mausoleum,Your Creature in this Lane has +1 DEF for every 5 cards in your discard pile.,Building,Useless Swamp,1,,,,Lumpy Space Princess' Blue Plains/Useless Swamp Deck (Totally Rad Deck) (CP3) - 1,Mausoleum.jpg
Mint Chocouflage,"While there is no opposing Creature in this Lane, Mint Chocouflage can't be damaged by your opponent's Spells or Creature abilities.",Creature,IcyLands,1,3,3,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 2,Mint Chocouflage.jpg
Mocha Launcher,"Pay 1 Action, FLOOP >>> Deal 2 Damage to target Creature. If that Creature is destroyed this way, Freeze the Landscape it is on.",Creature,IcyLands,1,0,4,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 1 : Moniker's Useless Swamp/IcyLands Deck (2v2) - 1,Mocha Launcher.jpg
Moniker,"Once during your turn, you may ready a Flooped Creature.",Hero,,,,,,Doubles Tournament (2v2) - 1,Moniker.jpg
Mouthball,+2 DEF for every 5 cards in your discard pile.,Creature,Useless Swamp,1,2,4,Continuous,BMO's Useless Swamp Deck (CP2) - 2,Mouthball.jpg
Ms. Fluff,"While Ms. Fluff has exactly 7 Damage on it, it has +7 ATK.",Creature,NiceLands,2,2,10,Continuous,Princess Bubblegum's NiceLands Deck (CP3) - 1,Ms. Fluff.jpg
Ms. Mummy,"At the start of you turn, you may return Ms. Mummy to its owner's hand. If you do, target SandyLands Creature you control gains 1 DEF.",Creature,Rainbow,0,1,4,Trigger,Lady Rainicorn's SandyLand Deck (CP2) - 1 : For the Glory! Booster Pack (FTG) - Uncommon,Ms. Mummy.jpg
Music Mallard,"FLOOP >>> Draw a card. If Music Mallard has 5 or more Damage on it, draw an additional card.",Creature,NiceLands,1,0,9,FLOOP,Marceline's NiceLands/Useless Swamp Deck (CP4) - 2,Music Mallard.jpg
Musical Chair,Swap up to 2 of your Landscapes with ones from outside of the game.,Spell,Rainbow,0,,,,For the Glory! Booster Pack (FTG) - Uncommon,Musical Chair.jpg
NaviGator,Discard a card >>> NaviGator gets +ATK equal to the cost of the discarded card. (Use only once during each of your turns.),Creature,Useless Swamp,1,2,6,,Moniker's Useless Swamp/IcyLands Deck (2v2) - 2,NaviGator.jpg
Necromancer,"Each time a Creature you control leaves play, you may move Necromancer to that Creature's empty Landscape.",Creature,Blue Plains,1,1,8,Trigger,Charlie's Blue Plains/NiceLands Deck (2v2) - 2,Necromancer.jpg
Nice Ice Baby,+3 ATK while your opponent does not control a Creature in this Lane.,Creature,Rainbow,0,1,2,Continuous,Finn's Blue Plains Deck (CP1) - 2 : Ice King's IcyLands Deck (CP4) - 2,Nice Ice Baby.jpg
Nice Windmill,Pay 1 Action >>> Heal or deal up to 2 Damage to your Creature in this Lane.,Building,NiceLands,1,,,,For the Glory! Booster Pack (FTG) - Uncommon,Nice Windmill.jpg
Niceasaurus Rex,"At the start of your turn, if Niceasaurus Rex has Damage on it, draw a card.",Creature,NiceLands,1,2,7,Continuous,Princess Bubblegum's NiceLands Deck (CP3) - 2,Niceasaurus Rex.jpg
Night Tower,FLOOP >>> If your opponent has no Creature in this Lane they discard a card.,Building,Useless Swamp,1,,,,Lumpy Space Princess' Blue Plains/Useless Swamp Deck (Totally Rad Deck) (CP3) - 1,Night Tower.jpg
Ogre Braces,You heal 1 Hit Point for every 5 cards in your discard pile.,Spell,Useless Swamp,1,,,,For the Glory! Booster Pack (FTG) - Common,Ogre Braces.jpg
Ogre Gas,Reveal the top 3 cards of your deck. Put one of them on the bottom of your deck and discard the rest.,Spell,Rainbow,0,,,,BMO's Useless Swamp Deck (CP2) - 2,Ogre Gas.jpg
Oil Refinery,Your Creature on this Landscape has +2 DEF for each Oil Refinery you control.,Building,Blue Plains,2,,,,Fionna's Blue Plains Deck (CP6) - 2,Oil Refinery.jpg
Ol' Corn Eye,+1 DEF for each different Landscape type you control.,Creature,Cornfield,2,4,1,Continuous,Lemongrab's Cornfield/SandyLands Deck (CP5) - 1 : For the Glory! Booster Pack (FTG) - Rare,Ol' Corn Eye.jpg
Orange Slimey,"If you control 3 or more different Landscape types when Orange Slimey enters play, deal 3 Damage to your opponent.",Creature,Useless Swamp,1,2,6,Entering Play,For the Glory! Booster Pack (FTG) - Uncommon,Orange Slimey.jpg
Overstuffed Orangutan,"While Overstuffed Orangutan has 4 or more Damage on it, double its ATK.",Creature,NiceLands,2,2,8,,Charlie's Blue Plains/NiceLands Deck (2v2) - 1,Overstuffed Orangutan.jpg
Palace of Bone,Opposing Creatures in this Lane don't trigger entering or leaving play effects.,Building,Useless Swamp,1,,,,BMO's Useless Swamp Deck (CP2) - 1,Palace of Bone.jpg
Paladim,Each Creature that changed Lanes this turn has +3 ATK this turn. (Opposing Creatures do not benefit from this.),Creature,Blue Plains,2,3,7,Continuous,For the Glory! Booster Pack (FTG) - Common,Paladim.jpg
Pants of Awesome,"Move target Creature you control to an empty Blue Plains Landscape you control, and then draw a card.",Spell,Blue Plains,1,,,,Lumpy Space Princess' Blue Plains/Useless Swamp Deck (Totally Rad Deck) (CP3) - 1,Pants of Awesome.jpg
Papercut Tiger,"While Papercut Tiger has exactly 5 Damage on it, it has +5 ATK.",Creature,NiceLands,2,2,9,Continuous,Marceline's NiceLands/Useless Swamp Deck (CP4) - 2,Papercut Tiger.jpg
Parrotmilitary Outpost,Each Creature in this Lane has -1 ATK (min 0).,Building,Rainbow,0,,,,Lemongrab's Cornfield/SandyLands Deck (CP5) - 1,Parrotmilitary Outpost.jpg
Patched Puppy,Deal 3 Damage to Patched Puppy >>> Patched Puppy has +2 ATK this turn.,Creature,NiceLands,2,3,8,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 1",Patched Puppy.jpg
Patchwork,Redistribute the Damage on Creatures you control (no Creature can have more Damage than DEF).,Spell,NiceLands,1,,,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 1",Patchwork.jpg
Patchy the Pumpkin,FLOOP >>> Deal 1 Damage to target Creature. Do this once for each Cornfield Landscape you control. (May only target each Creature once.),Creature,Cornfield,1,0,5,FLOOP,Jake's Cornfield Deck (CP1) - 2,Patchy the Pumpkin.jpg
Patriot Popsicle,"When Patriot Popsicle enters play, you may Freeze a Landscape in this Lane.",Creature,IcyLands,1,1,6,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 2 : Moniker's Useless Swamp/IcyLands Deck (2v2) - 2,Patriot Popsicle.jpg
Peach Djinni,"When a SandyLands Creature enters play under your control, Peach Djinni has +1 ATK this turn.",Creature,Rainbow,0,0,6,Trigger,Lady Rainicorn's SandyLand Deck (CP2) - 2,Peach Djinni.jpg
Pentacutie,Opponents can't play 0 cost cards.,Creature,Blue Plains,2,3,8,Continuous,For the Glory! Booster Pack (FTG) - Rare,Pentacutie.jpg
Pentaid,Heal exactly 5 Damage from target Creature you control (no more and no less).,Spell,NiceLands,1,,,,Marceline's NiceLands/Useless Swamp Deck (CP4) - 2,Pentaid.jpg
Phyllis,"While her blade distracts you, her purse swings in for the whammy.",Creature,Rainbow,1,2,7,None,Jake's Cornfield Deck (CP1) - 1,Phyllis.jpg
Pickler,Sacrifice Pickler >>> Deal 3 Damage to target Creature.,Creature,Useless Swamp,2,2,9,Ignition,For the Glory! Booster Pack (FTG) - Uncommon,Pickler.jpg
Pieclops,"When Pieclops enters play, heal 1 Damage from each adjacent Creature.",Creature,NiceLands,1,2,7,Entering Play,Princess Bubblegum's NiceLands Deck (CP3) - 2,Pieclops.jpg
Pied Piper,"When Pied Piper attacks an opposing Creature, you may have a Flooped Creature you control attack it instead.",Creature,Cornfield,2,1,9,,Cake's Cornfield Deck (CP6) - 2,Pied Piper.jpg
Piestorm,Each of your Creatures with no Damage has +2 ATK this turn.,Spell,NiceLands,1,,,,Princess Bubblegum's NiceLands Deck (CP3) - 2,Piestorm.jpg
Pillow Fortress,"Pay 1 Action, FLOOP >>> Heal 2 or deal 2 Damage to a Creature you control on this Landscape. Do the same to another friendly Creature.",Building,NiceLands,1,,,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 1",Pillow Fortress.jpg
Pink Candy,Each of your Creatures has +2 ATK this turn while attacking a Creature that is on a SandyLands Landscape.,Spell,Blue Plains,1,,,,For the Glory! Booster Pack (FTG) - Common,Pink Candy.jpg
Pink Merwitch,Discard a card >>> Deal 1 Damage to each opposing Creature. (Use only once during each of your turns.),Creature,Useless Swamp,2,2,8,Ignition,Lumpy Space Princess' Blue Plains/Useless Swamp Deck (Totally Rad Deck) (CP3) - 1,Pink Merwitch.jpg
Pirate Bear,"While Pirate Bear is on a Useless Swamp Landscape, it deals triple Damage.",Creature,Cornfield,1,1,3,Continuous,For the Glory! Booster Pack (FTG) - Common,Pirate Bear.jpg
Polterclops,+1 DEF for each different Landscape type you control.,Creature,SandyLands,2,4,1,Continuous,For the Glory! Booster Pack (FTG) - Common,Polterclops.jpg
Pony,,Creature,Rainbow,0,1,5,,Fionna's Blue Plains Deck (CP6) - 2,Pony.jpg
Popcorn Butteredfly,FLOOP >>> Draw a card for each Building you control.,Creature,Cornfield,1,1,5,FLOOP,Cake's Cornfield Deck (CP6) - 2,Popcorn Butteredfly.jpg
Popcorn Power,Each of your Creatures has +2 ATK this turn while attacking a Creature that is on a Blue Plains Landscape.,Spell,Cornfield,1,,,,For the Glory! Booster Pack (FTG) - Common,Popcorn Power.jpg
Portal of Unsummoning,Return target Creature to its owner's hand.,Spell,SandyLands,2,,,,For the Glory! Booster Pack (FTG) - Rare,Portal of Unsummoning.jpg
Portal to Nowhere,Move 1 of your opponent's Creatures to an adjacent empty Lane (on his side).,Spell,SandyLands,1,,,,For the Glory! Booster Pack (FTG) - Common,Portal to Nowhere.jpg
Princess Bubblegum,"Once per turn, you may deal 1 Damage to one of your Creatures. That Creature has +1 ATK this turn.",Hero,,,,,,Hero Pack #1 (HP1) - 1,Princess Bubblegum.jpg
Prismo,"If you have no matching Landscapes, your Creatures have +1 DEF.",Hero,,,,,,Hero Pack #1 (HP1) - 1,Prismo.jpg
Psionic Architect,"When Psionic Architect enters play, you may ready a Flooped Creature you control.",Creature,Blue Plains,1,2,6,Entering Play,Finn's Blue Plains Deck (CP1) - 2,Psionic Architect.jpg
Psionic Swashbuckler,"When Psionic Swashbuckler enters play, you may deal 3 Damage to target Flooped Creature",Creature,Blue Plains,1,2,6,,Fionna's Blue Plains Deck (CP6) - 2,Psionic Swashbuckler.jpg
Psychic Tempest,Return all Creatures in play you own to your hand. (This includes stolen Creatures.),Spell,SandyLands,1,,,,For the Glory! Booster Pack (FTG) - Rare,Psychic Tempest.jpg
Puma Paw,Ready a Flooped Creature you control. It has +2 ATK this turn.,Spell,Blue Plains,1,,,,For the Glory! Booster Pack (FTG) - Common,Puma Paw.jpg
Punk Cat,Each Creature that changed Lanes this turn has +2 ATK this turn.,Creature,Blue Plains,1,2,6,Continuous,Finn's Blue Plains Deck (CP1) - 2,Punk Cat.jpg
Puppy Parade,Heal 2 Damage from each Creature you control. Creatures you control lose their Landscape type and become Rainbow Creatures this turn.,Spell,Blue Plains,2,,,,Fionna's Blue Plains Deck (CP6) - 1,Puppy Parade.jpg
Pyramidia,"FLOOP >>> If you control a Creature in this Lane, gain 1 Action. Use it only to play a Creature into this Lane.",Building,Blue Plains,1,,,,Lumpy Space Princess' Blue Plains/Useless Swamp Deck (Totally Rad Deck) (CP3) - 1,Pyramidia.jpg
Pyromancer,"Each time Pyromancer enters a Landscape, you may deal 2 Damage to target Creature in that Lane. Pay 1 Action >>> Move Pyromancer to an empty Landscape you control.",Creature,Blue Plains,1,0,8,Trigger,Charlie's Blue Plains/NiceLands Deck (2v2) - 2,Pyromancer.jpg
Quadurai,"At the start of you turn, deal 2 Damage to each opponent with 4 or more cards in hand.",Creature,Rainbow,0,0,6,Continuous,For the Glory! Booster Pack (FTG) - Rare,Quadurai.jpg
Quake Maker,+2 ATK for each face-down Landscape in play.,Creature,Cornfield,1,1,7,Continuous,Lemongrab's Cornfield/SandyLands Deck (CP5) - 2,Quake Maker.jpg
Quick Pick Me Up,Return target Creature you control to its owner's hand. Gain Actions equal to its cost.,Spell,SandyLands,1,,,,Lemongrab's Cornfield/SandyLands Deck (CP5) - 1,Quick Pick Me Up.jpg
Rainbow Eyebat,"At the start of your turn, you heal 1 Hit Point for each different Landscape type you control. (Can 't go over 25.)",Creature,NiceLands,1,1,4,Continuous,Princess Bubblegum's NiceLands Deck (CP3) - 2,Rainbow Eyebat.jpg
Raise the Dead,Put a Creature with cost 2 or less from your discard pile into play.,Spell,Useless Swamp,1,,,,For the Glory! Booster Pack (FTG) - Rare,Raise the Dead.jpg
Rebounding Zebracorn,+1 ATK for each different Landscape type you control.,Creature,Cornfield,1,0,6,Continuous,Lemongrab's Cornfield/SandyLands Deck (CP5) - 2,Rebounding Zebracorn.jpg
Reclaim Landscape,"You may flip one of your Landscapes face up, and you may move one of your Buildings to one of your Lanes without one.",Spell,Rainbow,0,,,,Jake's Cornfield Deck (CP1) - 2,Reclaim Landscape.jpg
Red Eyeling,FLOOP >>> Return a card with cost 0 from your discard pile to your hand.,Creature,Useless Swamp,1,2,6,FLOOP,BMO's Useless Swamp Deck (CP2) - 2,Red Eyeling.jpg
Redirect Danger,Move up to 3 Damage on a Creature you control to target opposing Creature in its Lane.,Spell,Blue Plains,1,,,,Charlie's Blue Plains/NiceLands Deck (2v2) - 1,Redirect Danger.jpg
Reign Deer,FLOOP >>> Draw a card for each Landscape with a Frozen token on it players control.,Creature,IcyLands,2,4,4,FLOOP,Ice King's IcyLands Deck (CP4) - 2,Reign Deer.jpg
Repelling Rock Crab,"Each time Repelling Rock Crab takes Damage from a Creature, it deals that much Damage to that Creature.",Creature,SandyLands,1,1,5,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 2,Repelling Rock Crab.jpg
Ricardio,"Once during each of your turns, you may pay 1 HP. If you do, reveal the top card of your deck. You may discard it.",Hero,,,,,,Hero Pack #1 (HP1) - 1,Ricardio.jpg
Ring of Damage,Each of your Creatures has +2 ATK this turn.,Spell,Rainbow,2,,,,For the Glory! Booster Pack (FTG) - Common,Ring of Damage.jpg
Ring of Fluffy,"Target Creature you control has +X ATK this turn, where X is the amount of Damage on it.",Spell,NiceLands,2,,,,Princess Bubblegum's NiceLands Deck (CP3) - 2,Ring of Fluffy.jpg
Ring of Third Eye,Each of your Creatures has +2 ATK this turn while attacking a Creature that is on a Cornfield Landscape.,Spell,Blue Plains,1,,,,For the Glory! Booster Pack (FTG) - Common,Ring of Third Eye.jpg
River of Swords,Creatures you control each have +2 ATK this turn. Draw 2 cards.,Spell,Rainbow,2,,,,Fionna's Blue Plains Deck (CP6) - 1,River of Swords.jpg
Robomancer,+1 ATK for each Creature that changed Lanes during your turn.,Creature,Blue Plains,2,2,7,Continuous,Charlie's Blue Plains/NiceLands Deck (2v2) - 2,Robomancer.jpg
Rock 'n Roller,"When Rock 'n Roller enters play, flip a Landscape in this Lane face down. When Rock 'n Roller leaves play, flip it face up.",Creature,Cornfield,2,2,8,Entering Play,Lemongrab's Cornfield/SandyLands Deck (CP5) - 2,Rock 'n Roller.jpg
Rock Out!,Flip target Landscape face down until the start of your next turn.,Spell,Rainbow,0,,,,Lemongrab's Cornfield/SandyLands Deck (CP5) - 2,Rock Out!.jpg
Rocktopus,Rocktopus has +1 ATK while attacking a Creature that is on a SandyLands Landscape.,Creature,Rainbow,2,3,6,Continuous,For the Glory! Booster Pack (FTG) - Common,Rocktopus.jpg
Routing Rock Crab,"Each time Routing Rock Crab takes Damage from a Creature, you may move that Creature to an adjacent empty Landscape.",Creature,SandyLands,2,2,10,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 1,Routing Rock Crab.jpg
Royal Revelry,"If target Creature you control deals 1 or more Damage to an opponent this turn, deal 2 Damage to that opponent. After playing this, you may put it into your Teammate's hand.",Spell,Rainbow,1,,,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 1",Royal Revelry.jpg
Sack of Pain,"While Sack of Pain has exactly 6 Damage on it, it has +6 ATK.",Creature,NiceLands,2,2,10,Continuous,For the Glory! Booster Pack (FTG) - Rare,Sack of Pain.jpg
Sailing Sand Crab,"When Sailing Sand Crab enters play, you may play a Creature with cost 1 for free.",Creature,SandyLands,1,2,6,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 2,Sailing Sand Crab.jpg
Sand Angel,"Lie down in the sand, wave your arms and legs, and she will appear to you.",Creature,Rainbow,0,1,5,None,Lady Rainicorn's SandyLand Deck (CP2) - 2,Sand Angel.jpg
Sand Castle,Discard Sand Castle from play >>> Put your Creature on this Landscape into your hand and then play it for free.,Building,SandyLands,1,,,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 2,Sand Castle.jpg
Sand Eyebat,"When another Creature enters play under your control, Sand Eyebat gains 1 DEF.",Creature,SandyLands,2,1,10,Trigger,Lady Rainicorn's SandyLand Deck (CP2) - 2,Sand Eyebat.jpg
Sand Jackal,"While Sand Jackal is on a [NiceLands]] Landscape, when it defeats an opposing Creature, you heal 3 Hit Points.",Creature,SandyLands,1,3,3,Continuous,For the Glory! Booster Pack (FTG) - Common,Sand Jackal.jpg
Sand Knights,+2 ATK if you control a Blue Plains Landscape.,Creature,SandyLands,1,1,8,Continuous,Lady Rainicorn's SandyLand Deck (CP2) - 1,Sand Knights.jpg
Sand Pyramid,Pay 2 Actions >>> Return each Creature in this Lane to its owner's hand. (Affects both players.),Building,SandyLands,1,,,,For the Glory! Booster Pack (FTG) - Uncommon,Sand Pyramid.jpg
Sand Sphinx,FLOOP >>> Return a Creature you control in this Lane to its owner's hand.,Building,SandyLands,1,,,,Lady Rainicorn's SandyLand Deck (CP2) - 2,Sand Sphinx.jpg
Sandasaurus Rex,+2 ATK for each of your empty Lanes.,Creature,SandyLands,2,0,9,Continuous,Lemongrab's Cornfield/SandyLands Deck (CP5) - 1 : For the Glory! Booster Pack (FTG) - Common,Sandasaurus Rex.jpg
Sandhorn Devil,"When Sandhorn Devil enters play, deal 1 Damage to each Creature in play, (including each of your Creatures).",Creature,SandyLands,1,3,6,Entering Play,Lady Rainicorn's SandyLand Deck (CP2) - 2,Sandhorn Devil.jpg
Sandmagus,"At the start of your turn, you may return Sandmagus to its owner's hand. If you do, each other Creature you control has +1 ATK this turn.",Creature,SandyLands,1,2,4,Trigger,Lemongrab's Cornfield/SandyLands Deck (CP5) - 1,Sandmagus.jpg
Sandsnake,"When Sandsnake enters play, deal 4 Damage to target opposing Creature in this Lane.",Creature,SandyLands,1,0,9,Entering Play,Lady Rainicorn's SandyLand Deck (CP2) - 2,Sandsnake.jpg
SandWitch,"When SandWitch or another Creature enters play under your control, deal 1 Damage to your opponent.",Creature,SandyLands,1,0,12,Continuous,Lady Rainicorn's SandyLand Deck (CP2) - 2,SandWitch.jpg
Schoolhouse,FLOOP >>> Your Creature in this Lane loses all abilities and gains the FLOOP ability of a random Creature (with a FLOOP ability) in your discard pile until end of turn.,Building,Blue Plains,1,,,,Finn's Blue Plains Deck (CP1) - 1 : For the Glory! Booster Pack (FTG) - Uncommon,Schoolhouse.jpg
Scorching Serve,Destroy target opposing Creature. Each opponent draws cards equal to that Creature's cost.,Spell,SandyLands,1,,,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 1,Scorching Serve.jpg
Scroll of Bad Breath,Each of your Creatures has +2 ATK this turn while attacking a Creature that is on a NiceLands Landscape.,Spell,Useless Swamp,1,,,,For the Glory! Booster Pack (FTG) - Common,Scroll of Bad Breath.jpg
Scroll of Fresh Breath,Each of your Creatures has +2 ATK this turn while attacking a Creature that is on a Useless Swamp Landscape.,Spell,NiceLands,1,,,,For the Glory! Booster Pack (FTG) - Common,Scroll of Fresh Breath.jpg
Sea Hag,Sea Hag has +1 ATK while attacking a Creature that is on a Useless Swamp Landscape.,Creature,Rainbow,2,3,6,Continuous,For the Glory! Booster Pack (FTG) - Common,Sea Hag.jpg
Sewn Sloth,"Each adjacent Creature has +1 ATK. If Sewn Sloth has 4 or more Damage on it, each adjacent Creature has +2 ATK instead.",Creature,NiceLands,2,0,8,,Charlie's Blue Plains/NiceLands Deck (2v2) - 2,Sewn Sloth.jpg
Shadowy Pyramid,"FLOOP >>> Draw a card. If you control a Creature in this Lane, discard a card.",Building,Useless Swamp,1,,,,For the Glory! Booster Pack (FTG) - Common,Shadowy Pyramid.jpg
Shark,"When a SandyLands Creature enters play during your turn (including Shark), it has +1 ATK this turn.",Creature,SandyLands,2,2,10,Continuous,Lady Rainicorn's SandyLand Deck (CP2) - 2,Shark.jpg
Sharp Guy,FLOOP >>> Deal 2 Damage to target opposing Creature in this Lane.,Creature,Cornfield,1,1,5,FLOOP,Cake's Cornfield Deck (CP6) - 1,Sharp Guy.jpg
Sheep,,Creature,Rainbow,0,2,3,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 1",Sheep.jpg
Shielded ZebraCorn,"When Shielded ZebraCorn attacks, you may heal 1 Damage from an adjacent Creature.",Creature,Cornfield,1,2,6,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 2",Shielded ZebraCorn.jpg
Shifty Sand Crab,"Each time a Creature enters play during your turn, you may swap its space with Shifty Sand Crab.",Creature,SandyLands,1,2,7,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 2,Shifty Sand Crab.jpg
Silo of Freedom,Discard a card >>> Your Landscape in this Lane loses its type and becomes the type of your choice (except face down) until the start of your next turn.,Building,Cornfield,1,,,,Lemongrab's Cornfield/SandyLands Deck (CP5) - 1,Silo of Freedom.jpg
Silo of Justice,Pay 1 Action >>> Deal 1 Damage to target Creature in this Lane and 1 Damage to its controller.,Building,Cornfield,1,,,,For the Glory! Booster Pack (FTG) - Uncommon,Silo of Justice.jpg
Silo of Truth,Pay 2 Actions >>> Steal a random card from your opponent and play it at no cost.,Building,Cornfield,1,,,,Jake's Cornfield Deck (CP1) - 1,Silo of Truth.jpg
Singing Sword,Target Creature has +1 ATK this turn for every 2 cards you have drawn this turn.,Spell,Rainbow,0,,,,Fionna's Blue Plains Deck (CP6) - 2,Singing Sword.jpg
Sinkhole,"Discard a card, FLOOP >>> Flip target Landscape in this Lane face down until the start of your next turn.",Building,Cornfield,2,,,,Lemongrab's Cornfield/SandyLands Deck (CP5) - 1,Sinkhole.jpg
Ska-pion,Ska-pion costs 1 less to play while an opponent controls a Creature you own.,Creature,SandyLands,1,3,3,Continuous,Lemongrab's Cornfield/SandyLands Deck (CP5) - 2,Ska-pion.jpg
Skeletal Hand,"FLOOP >>> Discard the top 3 cards of your deck. For each Spell discarded this way, target player discards a card.",Creature,Useless Swamp,2,3,6,FLOOP,Lumpy Space Princess' Blue Plains/Useless Swamp Deck (Totally Rad Deck) (CP3) - 1,Skeletal Hand.jpg
Slashy Sand Crab,"Each time a Creature enters play during your turn on an adjacent Landscape, Slashy Sand Crab deals 2 Damage to a Creature in its Lane.",Creature,SandyLands,2,2,8,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 1,Slashy Sand Crab.jpg
Slay Rider,FLOOP >>> Deal 3 Damage to target Creature on a Landscape with a Frozen token on it.,Creature,IcyLands,1,0,5,FLOOP,Ice King's IcyLands Deck (CP4) - 2,Slay Rider.jpg
Slushie Salvo,Freeze target Landscape. You may move any number of Frozen tokens to a new Landscape (1 token per Landscapes).,Spell,IcyLands,1,,,,Moniker's Useless Swamp/IcyLands Deck (2v2) - 1,Slushie Salvo.jpg
Smoldering Elder,"When Smoldering Elder enters play, each player discards 2 cards.",Creature,Useless Swamp,2,3,8,Entering Play,For the Glory! Booster Pack (FTG) - Rare,Smoldering Elder.jpg
Smooth Eli,Floop >>> Move target Frozen token from one Landscape to a new Landscape.,Creature,IcyLands,1,2,6,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 2 : Moniker's Useless Swamp/IcyLands Deck (2v2) - 1,Smooth Eli.jpg
Snake Eye Ring,Return a random Useless Swamp Creature from your discard pile to your hand.,Spell,Rainbow,0,,,,BMO's Useless Swamp Deck (CP2) - 2,Snake Eye Ring.jpg
